class,text
O1,一个考虑染色体端粒长度的肿瘤细胞分裂增长模型的定性分析 肿瘤细胞分裂增长模型/染色体端粒长度/算子半群/全局适定性 本研究聚焦于研究一个考虑染色体端粒长度的肿瘤细胞分裂增长模型.在此模型中，肿瘤细胞分成活跃期和休眠期2种状态.将此模型转化为巴拿赫空间的柯西问题后，利用算子半群理论给出全局适定性的详细证明，并给出此模型一致指数稳定的条件.
O1,一类具有潜伏期检测和外源性再感染的随机结核病模型动力学分析 随机结核病模型/潜伏期检测/外源性再感染/Lyapunov函数 为探究潜伏期检测、外源性再感染及环境噪声扰动等因素对结核病传播和控制的影响，研究了一类具有潜伏期检测和外源性再感染的结核病模型在随机扰动下的动力学行为。首先，通过构造合适的Lyapunov函数证明了该模型全局正解的存在唯一性，采用Has’minskii理论及一些不等式技巧给出了遍历平稳分布存在唯一性的充分条件；其次，证明了结核病的灭绝性；最后，通过数值模拟验证了理论结果的正确性。结果表明，增加潜伏期检测比例或降低外源性再次感染率可以减少发展为活动性结核病患者的数量，但环境噪声的存在会导致结核病的控制变得复杂。研究证实了在较大的噪声扰动下可以导致结核病的灭绝，从而有效控制结核病的流行。
O1,具有分段常数参数的Cohen-Grossberg神经网络的全局指数稳定 Cohen-Grossberg神经网络/分段常数参数/李雅普诺夫函数/全局指数稳定性 主要研究了具有分段常数参数的Cohen-Grossberg神经网络的全局指数稳定性，得到了保证平衡点的存在唯一性的充分条件，通过线性不等式方法，并构造适当的李雅普诺夫泛函，提出了系统的平衡点的全局指数稳定性的判据，最后给了一个数值例子验证所得结果的有效性。
O1,"关于*r-clean环 *r-clean环/*-clean环/*-正则环 称对合环为*r-clean环是指环中任一元素都可表示为投射子和*-正则元的和.研究了该环的一些扩张性质,并给出了*-阿贝尔的*r-clean环中元素的刻画."
O1,"通信类研究生数学建模能力的培养与实践 四位一体/数学建模/创新能力/科研赋能 培养高层次科技创新人才是新时代研究生教育的历史使命和责任担当。新工科倡导的“前沿技术引领性”“学科间交融性”“知识体系多样性”和“人才培养创新性”等理念为我国通信类研究生与高端人才的培养提供新思路。针对通信类研究生培养需求,分析通信类研究生能力培养挑战,指出通信类研究生教育仍存在通信系统综合实践能力弱、通信问题数学建模能力不足等问题。基于此,揭示数学建模能力对研究生创新能力培养的支撑作用,探索提出“课程教学-学科竞赛-科研项目-社会实践”四位一体研究生创新能力培养体系,介绍培养中的创新实践以及在学科竞赛、科研创新和人才培养等方面的成果成效。"
O1,基于OWA算子的模糊n-cell数排序方法 模糊n-cell数/有序加权平均算子/排序/权重 针对基于模糊n-cell数的多属性排序问题，提出了一种基于有序加权平均算子(OWA算子)的模糊n-cell数排序方法。该方法首先根据样本数据对评估对象的属性构造模糊n-cell数，其次根据均值将属性按照从大到小排列，然后选取合适的权重向量，应用OWA算子进行信息聚合得到综合模糊n-cell数，接着根据各分量均值得到排序结果。最后，将该方法运用到实例中，并与传统的均值方法进行了比较。结果表明该方法不仅灵活有效，可根据具体情况选择不同的OWA权重来消除部分不合理的情况，使结果更有说服力，还弥补了传统均值方法的不足。
O1,"向量值次线性算子的交换子在变指数Herz-Morrey空间上的加权估计 向量值次线性算子/交换子/变指数Herz-Morrey空间/Muckenhoupt权 利用变指数A_(p(·))权理论及广义BMO范数性质,我们证明了一类向量值次线性算子的交换子在加权变指数Herz-Morrey空间■上的有界性,其中α(·),p(·)和q(·)均为变指数."
O1,向量混合积与四面体体积公式的联系与应用 四面体体积/向量混合积/解析几何 在解析几何中求解四面体的体积，传统的方法是选取一个顶点作为原点，并使用从这个顶点出发的三个不共面的向量，通过计算它们的混合积来得到四面体的体积。然而，实际上只需要从四个顶点中选择任意三个不共线的向量，计算它们的混合积即可求解四面体的体积。提出了一种更加通用的方法，利用向量混合积来求解四面体的体积，并且证明了此方法的准确性。最后，通过一个数值算例来说明这种方法的简便性和有效性。
O1,具有化学引诱剂消耗的Keller-Segel模型的爆破时间的下界 Keller-Segel模型/下界/先验估计 研究了定义在有界区域Ω?R~3上的具有化学引诱剂消耗的Keller-Segel模型，利用微分不等式和文献中的先验估计，得到了方程解的爆破时间的下界.
O1,基于“互联网+”数学公共基础课程建设研究 互联网+/课程建设/工科数学 在“互联网+”背景下，探究工科院校数学类公共基础课程符合国家“十四五”发展教育规划要求，适应新时代发展特色的课程群的建设具有重要的意义。文章以基于互联网技术的“3+4”特色课程建设新模式为着力点，面向沈阳建筑大学一年级和二年级本科生，讨论了数学类公共基础课程群的建设和应用实践，构建了适应工科院校新时代发展需求的特色方向课程群。最后，通过校企合作、数学建模、创新创业建立数学应用实践体系，培养学生的综合素质与创新能力。
